MOVIE_ID,NAME,ALIAS,ACTORS,COVER,DIRECTORS,DOUBAN_SCORE,DOUBAN_VOTES,GENRES,IMDB_ID,LANGUAGES,MINS,OFFICIAL_SITE,REGIONS,RELEASE_DATE,SLUG,STORYLINE,TAGS,YEAR,ACTOR_IDS,DIRECTOR_IDS
26725031,是，大臣 1984圣诞特辑,是，大臣：党派之戏,保罗·爱丁顿/奈杰尔·霍桑/德里克·福德斯/戴安娜·霍迪诺特/约翰·内特尔顿/詹姆斯·格劳特/彼得·杰弗里/菲利普·斯通,,彼得·惠特莫尔,9.8,3965,喜剧,tt0751812,英语,60,,英国,1984/12/17,izNIZRuib,Sitcom about a British government minister and the advisers who surround him. The seasonal festivities at the Department of Administrative Affairs are overshadowed by rumours of a cabinet reshuffle. But a leadership election and the Eurosausage affair could lead to great things for Jim Hacker.,英剧/喜剧/英国/政治讽刺剧/政治/BBC/经典/黑色幽默,1984,保罗·爱丁顿:1080641|奈杰尔·霍桑:1000316|德里克·福德斯:1080967|戴安娜·霍迪诺特:1342660|约翰·内特尔顿:1128854|詹姆斯·格劳特:1099549|彼得·杰弗里:1106908|菲利普·斯通:1149637,彼得·惠特莫尔:1300843
27121232,夏目友人帐 第六季 特别篇 铃响的残株,夏目友人帐 第六季 OVA,神谷浩史/井上和彦/伊藤美纪/伊藤荣次/堀江一真/木村良平/菅沼久义/松山鹰志/下崎纮史/冈村明美/黑田崇矢/绪方贤一/久野美咲/种崎敦美/森下由树子/塙爱美,,大森贵弘/出合小都美,9.6,5955,剧情/动画/奇幻,,日语,23,http://www.natsume-anime.jp/,日本,2017/9/27,MAIZvUBea,2017年4月番《夏目友人帐第六季》开播，作品第四卷BD公布，其中将收录TV开播特别篇《鈴鳴るの切り株》，还有“SOUND　THEATRE×夏目友人帳　～音劇の章　2018～”门票先行销售的申请券封入！预计9月27日发售,夏目友人帐/治愈/动漫/日本/动画/温情/日本动画/治愈系,2017,神谷浩史:1274377|井上和彦:1003523|伊藤美纪:1029407|伊藤荣次:1110465|堀江一真:1316920|木村良平:1314813|菅沼久义:1185098|松山鹰志:1122604|下崎纮史:1411600|冈村明美:1033344|黑田崇矢:1197854|绪方贤一:1003737|久野美咲:1344901|种崎敦美:1325812|森下由树子:1382790|塙爱美:1377435,大森贵弘:1275191|出合小都美:1363149
10508911,神秘博士：DT的视频日志：最后的日子,,大卫·田纳特,,,9.6,902,纪录片,,英语,40,,英国,,NAuirMYva,DT视频日志，在DW剧组最后的时光,DavidTennant/DoctorWho/纪录片/英剧/BBC/英国/神秘博士/DW,2010,大卫·田纳特:1002671,
1291546,霸王别姬,再见，我的妾,张国荣/张丰毅/巩俐/葛优/英达/蒋雯丽/吴大维/吕齐/雷汉/尹治/马明威/费振翔/智一桐/李春/赵海龙/李丹/童弟/沈慧芬/黄斐,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1488213971.jpg,陈凯歌,9.6,1167141,剧情/爱情/同性,tt0106332,汉语普通话,171,,中国大陆 / 中国香港,1993/1/1,YZ3jra6ua,段小楼（张丰毅）与程蝶衣（张国荣）是一对打小一起长大的师兄弟，两人一个演生，一个饰旦，一向配合天衣无缝，尤其一出《霸王别姬》，更是誉满京城，为此，两人约定合演一辈子《霸王别姬》。但两人对戏剧与人生关系的理解有本质不同，段小楼深知戏非人生，程蝶衣则是人戏不分。,经典/人性/文艺/爱情/人生/同志/剧情/文革,1993,张国荣:1003494|张丰毅:1050265|巩俐:1035641|葛优:1000905|英达:1011479|蒋雯丽:1020487|吴大维:1028801|吕齐:1275230|雷汉:1275232|尹治:1275236|马明威:1275234|费振翔:1275235|智一桐:1275239|李春:1275231|赵海龙:1275237|李丹:1275238|童弟:1275233|沈慧芬:1317383|黄斐:1373062,陈凯歌:1023040
27011740,夏目友人帐 五 特别篇：一夜酒杯,,神谷浩史/井上和彦/小林沙苗/伊藤美纪,,大森贵弘/出合小都美,9.5,5629,剧情/动画,,日语,24,http://www.natsume-anime.jp/,日本,2017/3/22,BmVnri72b,第5期Blu-ray/DVDに収録の新作エピソード。それぞれ前編・後編と、連続したエピソードとなっている。,夏目友人帐/治愈/日本/动漫/动画/日本动画/温情/OVA,2017,神谷浩史:1274377|井上和彦:1003523|小林沙苗:1008128|伊藤美纪:1029407,大森贵弘:1275191|出合小都美:1363149
25892102,Coldplay -  Ghost Stories Live 2014,,盖伊·贝瑞曼/威尔·查平/克里斯·马汀,,,9.5,373,音乐/舞台艺术,tt3686972,英语,49,http://coldplay.com/newsdetail.php?id=1496&page=1,英国,2014/5/18,2rURIfEBe,"Filmed by Grammy-nominated director Paul Dugdale (Adele, Rolling Stones), Coldplay: Ghost Stories was recorded in a custom-built amphitheatre in front of an audience of 800 fans. The show blends a unique in-the-round performance from the band with cinematic vignettes and immersive 360-degree projections.",Coldplay/音乐/英国/纪录片/演唱会/Live/一个字：好想去听现场！/Ghoststories,2014,盖伊·贝瑞曼:1001080|Jonny Buckland:|威尔·查平:1023852|克里斯·马汀:1032077,
26715548,第十二夜,随心所欲,塞缪尔·巴奈特/马克·里朗斯/斯蒂芬·弗雷,,,9.5,1262,剧情/喜剧,tt5622262,英语,176,https://globeplayer.tv/videos/twelfth-night,英国,,YR2VBQeUf,伊利里亚公爵奥西诺向奥莉薇亚小姐求爱，屡遭拒绝。这时，一对孪生兄妹薇奥拉和西巴斯辛航海到伊利里亚，在附近海上遇难。妹妹薇奥拉改扮男装，投身奥西诺公爵家中为侍童，并充当了他的求爱使者，不料奥莉薇亚小姐与女扮男装的使者一见钟情，而使者薇奥拉却偷偷爱上了公爵。后来，奥莉薇亚碰巧遇上薇奥拉的孪生兄长西巴斯辛，两人误打误撞成就一段姻缘，公爵也和薇奥拉也终成眷属。,莎士比亚/英国/喜剧/戏剧/舞台剧/环球映画/MarkRylance/戏剧放映,2013,塞缪尔·巴奈特:1045095|马克·里朗斯:1014239|斯蒂芬·弗雷:1049500|Liam Brennan:|Paul Chahidi:,
26763132,无事生非 (2011年伦敦Wyndham剧院版),无事生非,大卫·田纳特/凯瑟琳·塔特/汤姆·巴特曼/乔纳森·考尔/亚当·詹姆斯,,乔西·洛克,9.5,617,喜剧/爱情,tt5569310,英语,161,,英国,,aqU3by7Qe,2011年在伦敦西区的Wyndham剧院，由第9任神秘博士的大卫·田纳特（David Tennant），和他在《神秘博士》中的女伴Donna Noble的扮演者、英国电视喜剧演员凯瑟琳·塔特（Catherine Tate）再次合作，奉献莎士比亚的经典喜剧。黄金组合碰撞，火花四溅。,莎士比亚/舞台剧/DavidTennant/英国/喜剧/戏剧/Shakespeare/爱情,2011,大卫·田纳特:1002671|凯瑟琳·塔特:1044989|汤姆·巴特曼:1328705|Alex Beckett:|乔纳森·考尔:1075883|Clive Hayward:|亚当·詹姆斯:1316929|Elliot Levey:|Sarah MacRae:|John Ramm:,乔西·洛克:1356416
25824839,凯特秀：喜剧插曲之神秘博士特别篇,,大卫·田纳特/凯瑟琳·塔特,,,9.5,322,短片,,英语,6,,英国,,uEZBYZfib,貌似就是这个：,短片/英剧/DoctorWho/DavidTennant/英国/BBC/科幻/DW,2007,大卫·田纳特:1002671|凯瑟琳·塔特:1044989,
10461356,大雄的怀念奶奶,奶奶的思念 / 奶奶的回忆,大山信代/小原乃梨子/立壁和也/肝付兼太/野村道子/高村章子/千千松幸子/大本真基子/关智一/佐久间玲,,渡边步,9.5,2445,动画,,日语,0,,日本,2000/3/11,uEB2F3rib,《大雄的怀念奶奶》（おばあちゃんの思い出），是一部哆啦A梦电影作品系列的附篇作品之一，首映于2000年3月11日，是哆啦A梦短篇电影系列第三部，改编自1979年哆啦A梦电视动画《老祖母的愉快回忆》和1986年的哆啦A梦系列电视动画《我爱奶奶》。该电影跟《大雄的太阳王传说 》同年上映。,哆啦A梦/动画/温情/童年/治愈系/日本/日本动画/藤子·F·不二雄,2000,大山信代:1030632|小原乃梨子:1029504|立壁和也:1026085|肝付兼太:1043469|野村道子:1003896|高村章子:|千千松幸子:1040071|大本真基子:1330948|关智一:1050981|くじら:|佐久间玲:1014989,渡边步:1317548
