MOVIE_ID,NAME,ALIAS,ACTORS,COVER,DIRECTORS,DOUBAN_SCORE,DOUBAN_VOTES,GENRES,IMDB_ID,LANGUAGES,MINS,OFFICIAL_SITE,REGIONS,RELEASE_DATE,SLUG,STORYLINE,TAGS,YEAR,ACTOR_IDS,DIRECTOR_IDS
26841075,女娲日记,,刘美旗/高广泽/宋睿/夏添/崔友斌,,高波,2.0,738,剧情/奇幻,,汉语普通话,82,,中国大陆,2017/1/4,ERYJR2NQe,《女娲日记》讲述的是一场在正义、力量与爱情之间抉择的生死大战玄幻故事。宋睿在剧中挑战饰演一对性格迥异的双胞胎，一个是誓死守护女娲后裔的“养母”安娜，一个性格极端、视财如命、与安娜情感不和的妹妹肖。,烂片/抄袭/垃圾/烂透了/狗屎/无耻/臭垃圾/滚,2017,刘美旗:|高广泽:|宋睿:|夏添:|崔友斌:,高波:
27066362,娘子军传奇,,刘一含/刘畅/战卫华/邓杨宁/孙菲菲,,孟奇,2.1,803,剧情/战争,,汉语普通话,95,,中国大陆,2017/9/22,uM2zNQQmb,"符红女在《红色娘子军》芭蕾舞剧中饰演一名小女兵, 由于资历尚浅, 演出时总在舞台的一角作陪衬，难以有展示自我的机会。一次意外发生，她从舞台上跌落至台下，昏迷了过去。醒来时, 发现情况变得很糟……符红女数次昏迷, 她像是在梦境中走进了红色娘子军李香瑜的生命里, 进行了一次神交。李香瑜及其战友传奇且不平凡的经历,融汇在符红女一个多小时的记忆里, 短暂且悠长……",烂片/战争/国产/女性/中国/2017/爱国/狗屎,2017,刘一含:1315436|刘畅:|战卫华:1375896|邓杨宁:1349408|孙菲菲:1233045,孟奇:1324288
27003615,怨灵宿舍之人偶老师,,谢容儿/薇拉贝儿/岳文龙/姚雨鑫/陈嘉敏/姜梦茹/李晨溪/王翼鹏,,陆诗雷,2.1,527,惊悚/恐怖,tt6953274,汉语普通话,90,,中国大陆,2017/4/14,mNYBAQeUf,小茶（姜梦茹 饰）、雨烟（谢容儿 饰）、黛丝（薇拉贝儿 饰）和扣子（陈嘉敏 饰）是同在巴洛克艺术学院里学习的好友兼室友，彼此之间感情十分要好。一天，小茶突然失踪音信全无，在老师的组织和帮助之下，雨烟等室友们开始寻找小茶的下落，没想到却牵扯出了一个十年前发生在校园里的恐怖传说。,烂片/恐怖/剧情很傻/惊悚/国产/整容脸/悬疑/中国大陆,2017,谢容儿:1329038|薇拉贝儿:1368002|岳文龙:1371051|姚雨鑫:1336951|陈嘉敏:1340988|姜梦茹:1319792|李晨溪:1356228|王翼鹏:1371050,陆诗雷:1360707
3082639,古老国度的传说,,,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1584652489.jpg,,2.1,100,动作/冒险,tt1136688,英语,86,,美国 / 阿根廷,,yzjNmbU3b,故事讲述的是一个公主要寻找五个最伟大的骑士帮助她从邪恶的巫婆手里拯救她的王国.,美国/魔幻/烂片/电影/阿根廷/美国电影/美国烂片/2009,2010,,
4006302,嫁给大山的女人,,王力可/施展/村里,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2259569219.jpg,胡明钢,2.1,6522,剧情,,汉语普通话,88,,中国大陆,2009/4/22,y7A2rM2ba,山菊（王力可 饰）被人贩拐走买到了大山之中，逃跑偶然遇见了钟老汉（村里 饰），钟老汉将山菊带回家中，他的儿子石根（施权展 饰）误以为山菊是父亲给自己买来的媳妇，哪知道个性刚烈的山菊宁愿和下毒药寻死也不愿同他亲近。误会解除了，钟老汉一家人悉心照料卧病在床的山菊，之后联系了山菊的家人前来接她回家。,垃圾片/贩卖人口/罪恶/强奸/人性/暴力/人贩子/中国大陆,2009,王力可:1314078|施展:1350970|村里:1313017,胡明钢:1335854
27200820,凌晨两点半,,陈美行/周庚禹/王子航/李哲羽/张敬阳/朱德丽/陈泽帆/胡大中/汪池/王思思/于亚男/张云海/张骆琳/陈快乐,,王静儿,2.2,395,悬疑/惊悚,,汉语普通话,86,,中国大陆,2018/4/13,YJJfaURYf,"影片讲述了一天之中阴气最重的时辰凌晨两点半，正是人类阳气最弱的时刻，为阴阳交汇的时刻，此时，是医院病人死亡率最高的时间点，也最容易在此时撞鬼。凌晨两点半，古墓中万鬼爆出,五灵血咒开启，常有孤魂野鬼到处游荡。",烂片/负分/烂/狗屎/悬疑/烂片之中的烂片啊~/国产/浪费生命系列,2018,陈美行:1318068|周庚禹:1384991|王子航:1384993|李哲羽:1384994|张敬阳:1384995|朱德丽:1384996|陈泽帆:1377139|胡大中:1345496|汪池:1385041|王思思:1316823|于亚男:1385042|张云海:1344534|张骆琳:1385043|陈快乐:1385401,王静儿:1344543
26984234,玲珑井,,宋睿/罗翔/曾漪莲/余爱笑/张佳浩/董海歌,,海鹏,2.2,364,悬疑/惊悚,,汉语普通话,81,,中国大陆,2018/3/16,JZZviFnFf,《玲珑井》讲述了方若萱幼年时在家里的古宅遭遇了一场事故，导致她丧失了童年记忆，多年后这座老宅子被改成了一所医学院，每当方若萱走到遗留的玲珑井前，脑海中就会闪过一些模糊记忆碎片，她意识到这口井和失去的记忆存在某种联系，就在她想要继续了解的时候，一系列诡异的事情接连发生，男友陈博飞也离奇失踪，于是方若瑄决定亲自到玲珑井下一探究竟……,烂片/讲个笑话：国产恐怖片/垃圾/恐怖/国产/悬疑/惊悚/剧情狗血，演技全无，漏洞百出，毫无新意,2018,宋睿:1329270|罗翔:1341569|曾漪莲:1354039|余爱笑:1373272|张佳浩:1373273|董海歌:1373274,海鹏:1379657
26969974,血伞凶灵,,刘晓婉/文卓/朱佳希/李炳渊/初俊辰,,朱林森,2.2,338,爱情/惊悚,,汉语普通话,88,,中国大陆,2017/2/17,YRmjbqUBe,蒋宣（文卓 饰）和孟微微（朱家希 饰）在一间酒吧里相识，情投意合的他们很快就看对了眼，走到了一起。随着时间的推移，两人之间的感情持续升温，最终，他们决定同居。在蒋宣的姐姐的介绍下，蒋宣和孟微微搬进了出租屋，让两人感到十分诡异的是，在出租屋里，有一把非常不合时宜的存在的红色油纸伞。,烂片/惊悚/恐怖/国产/一个星都不想给！/烂透了/中国大陆/2017,2017,刘晓婉:1368731|文卓:1327487|朱佳希:1355105|李炳渊:1343152|初俊辰:1357954,朱林森:1332935
26991769,恐怖毕业照2,,陈圆/刘俐儿/宋伟/聂晶磊/柴子娣/李晨溪/刘冲儿,,陆诗雨,2.2,440,惊悚/恐怖,,汉语普通话,90,,中国大陆,2017/8/18,qU37AIBIf,苏亮曾和尹飘飘（聂晶磊 饰）之前有过一段美好的恋情，情投意合的两人彼此之间感情十分深厚。然而天不遂人愿，在一场意外中，尹飘飘不幸丧生，苏亮从此生活在对她的思念和痛苦之中。,恐怖/垃圾中的战斗机/惊悚/国产/悬疑/中国大陆/搞笑/中国电影,2017,陈圆:1336641|刘俐儿:1360341|宋伟:1340991|聂晶磊:1360342|柴子娣:1360343|李晨溪:1356228|刘冲儿:1360344,陆诗雨:1274565
26948814,怨灵宿舍之白纸女生,,谢容儿/薇拉贝儿/姚雨鑫/曲馨雅/姜星丘/陈嘉敏/姜梦茹/李晨溪,,陆诗雷,2.2,670,惊悚,tt8387904,汉语普通话,87,,中国大陆,2017/4/1,bqMQeEJRe,讲述巴洛克画院的学生雨烟（谢容儿  饰）偶然梦见自己已经离世的同学苏苏，而后陷入灵异事件之中，神秘的纸人如梦靥一般缠住雨烟，苏苏借纸人还魂复仇的传说不胫而走，雨烟遭遇的种种异象表明，是死去的苏苏在还魂复仇。深夜隐没的无面鬼，暗夜游荡的白衣邪灵，预示着死亡的浓烈气息，一个尘封多年的秘密被揭晓，而雨烟却陷入了死亡之地。,恐怖/垃圾/惊悚/烂片之中的烂片啊~/国产/2017/中国/悬疑,2017,谢容儿:1329038|薇拉贝儿:1368002|姚雨鑫:1336951|曲馨雅:1369850|姜星丘:1353667|陈嘉敏:1340988|姜梦茹:1319792|李晨溪:1356228,陆诗雷:1360707
